gen,best_score,mean_score,median_score,std_score,avg_trades,best_trades,best_cagr,best_sharpe,best_sortino,best_pf,best_maxdd,best_calmar,best_expectancy
66,2.4956564220466713,1.6226034872784951,1.8035852503572918,0.7803502080007898,32.875,40,3.0,5.0,5.0,10.0,0.0004798053750600924,6252.535206851883,260.71586524034154
67,2.4958437127229334,1.6787721948160816,1.8696656446641593,0.8022956232866661,37.03333333333333,38,2.999839470306989,5.0,5.0,10.0,0.0006677298248589518,4492.5946971751055,261.9242787553363
68,2.4958437127229334,1.613910405348029,2.005082445242519,0.8440981325707572,32.458333333333336,38,2.999839470306989,5.0,5.0,10.0,0.0006677298248589518,4492.5946971751055,261.9242787553363
69,2.4958437127229334,1.6674197962904889,1.942170708069896,0.828179318806308,31.6,38,2.999839470306989,5.0,5.0,10.0,0.0006677298248589518,4492.5946971751055,261.9242787553363
70,2.4958437127229334,1.5847550140733284,1.7900287787860258,0.8720930229057334,30.166666666666668,38,2.999839470306989,5.0,5.0,10.0,0.0006677298248589518,4492.5946971751055,261.9242787553363
71,2.4958437127229334,1.6180835311517299,1.764451036864834,0.8103819014327229,31.441666666666666,38,2.999839470306989,5.0,5.0,10.0,0.0006677298248589518,4492.5946971751055,261.9242787553363
72,2.4958437127229334,1.6504580022955382,1.9597616582443624,0.8304512810102932,33.3,38,2.999839470306989,5.0,5.0,10.0,0.0006677298248589518,4492.5946971751055,261.9242787553363
73,2.4958437127229334,1.523594127506388,1.6822676704871644,0.823695980166649,32.94166666666667,38,2.999839470306989,5.0,5.0,10.0,0.0006677298248589518,4492.5946971751055,261.9242787553363
74,2.4958437127229334,1.752734074379675,2.0634555871992073,0.7848212896538042,37.125,38,2.999839470306989,5.0,5.0,10.0,0.0006677298248589518,4492.5946971751055,261.9242787553363
75,2.4958437127229334,1.6030664051960657,1.8268422029415814,0.8605327922389656,32.84166666666667,38,2.999839470306989,5.0,5.0,10.0,0.0006677298248589518,4492.5946971751055,261.9242787553363
76,2.4958437127229334,1.6211046782060947,1.845160169024917,0.8472298609936444,31.841666666666665,38,2.999839470306989,5.0,5.0,10.0,0.0006677298248589518,4492.5946971751055,261.9242787553363
77,2.4958437127229334,1.5891311902583038,1.824733019999436,0.8328909766549815,30.758333333333333,38,2.999839470306989,5.0,5.0,10.0,0.0006677298248589518,4492.5946971751055,261.9242787553363
78,2.4958437127229334,1.5874493183874905,1.767155761961424,0.816625175474146,33.19166666666667,38,2.999839470306989,5.0,5.0,10.0,0.0006677298248589518,4492.5946971751055,261.9242787553363
79,2.4958437127229334,1.6251521890469458,1.8702527197657854,0.78367957403633,35.45,38,2.999839470306989,5.0,5.0,10.0,0.0006677298248589518,4492.5946971751055,261.9242787553363
80,2.4958437127229334,1.6773694296852506,1.9664424345808729,0.8235184327227447,32.233333333333334,38,2.999839470306989,5.0,5.0,10.0,0.0006677298248589518,4492.5946971751055,261.9242787553363
81,2.4958437127229334,1.63744594687532,1.7728910377032063,0.8115665414556822,33.766666666666666,38,2.999839470306989,5.0,5.0,10.0,0.0006677298248589518,4492.5946971751055,261.9242787553363
82,2.4958437127229334,1.59882715442491,1.7627394717748572,0.8162955850672327,37.475,38,2.999839470306989,5.0,5.0,10.0,0.0006677298248589518,4492.5946971751055,261.9242787553363
83,2.4958437127229334,1.5931599247481225,1.82976639480236,0.8352570556811196,35.68333333333333,38,2.999839470306989,5.0,5.0,10.0,0.0006677298248589518,4492.5946971751055,261.9242787553363
84,2.4958437127229334,1.6229771040407315,2.05493635193308,0.899181110127141,37.59166666666667,38,2.999839470306989,5.0,5.0,10.0,0.0006677298248589518,4492.5946971751055,261.9242787553363
85,2.4958437127229334,1.6643719881866794,2.059169505971813,0.8518574032464228,35.11666666666667,38,2.999839470306989,5.0,5.0,10.0,0.0006677298248589518,4492.5946971751055,261.9242787553363
86,2.4958437127229334,1.6315508379964143,1.9778752683858913,0.8503155896828171,35.36666666666667,38,2.999839470306989,5.0,5.0,10.0,0.0006677298248589518,4492.5946971751055,261.9242787553363
87,2.4958437127229334,1.648062894209145,2.0679299755998475,0.8575459879224006,31.791666666666668,38,2.999839470306989,5.0,5.0,10.0,0.0006677298248589518,4492.5946971751055,261.9242787553363
88,2.4958437127229334,1.6902845824744737,2.1511530688040033,0.8574383949098527,32.725,38,2.999839470306989,5.0,5.0,10.0,0.0006677298248589518,4492.5946971751055,261.9242787553363
89,2.4958437127229334,1.620825995545115,1.8325163245954672,0.8581774972299026,31.383333333333333,38,2.999839470306989,5.0,5.0,10.0,0.0006677298248589518,4492.5946971751055,261.9242787553363
90,2.4958437127229334,1.592912649562677,1.937009962444359,0.834550657195856,31.116666666666667,38,2.999839470306989,5.0,5.0,10.0,0.0006677298248589518,4492.5946971751055,261.9242787553363
91,2.4960547767948347,1.5792046492406253,1.8585212460498712,0.8490772062385903,30.7,41,3.0,5.0,5.0,10.0,0.000801203402851973,3744.3675218067783,253.5788000831098
92,2.4960547767948347,1.49203998158138,1.5856995133560385,0.8784714931849216,32.925,41,3.0,5.0,5.0,10.0,0.000801203402851973,3744.3675218067783,253.5788000831098
93,2.4960547767948347,1.6793067654699663,1.8656746725824223,0.8205739092781539,32.141666666666666,41,3.0,5.0,5.0,10.0,0.000801203402851973,3744.3675218067783,253.5788000831098
94,2.4960547767948347,1.639783413571152,1.983407674677899,0.8265807757157012,33.575,41,3.0,5.0,5.0,10.0,0.000801203402851973,3744.3675218067783,253.5788000831098
95,2.4960547767948347,1.664891244876497,1.8460939266459027,0.7637123619175241,34.49166666666667,41,3.0,5.0,5.0,10.0,0.000801203402851973,3744.3675218067783,253.5788000831098
96,2.496098848631831,1.5534475478579926,1.725527947576961,0.8261807339689758,33.53333333333333,42,3.0,5.0,5.0,10.0,0.0007403681557480467,4052.0381336078485,255.82516312075958
97,2.496098848631831,1.5231146682634502,1.7282864069699453,0.8031036590334707,31.441666666666666,42,3.0,5.0,5.0,10.0,0.0007403681557480467,4052.0381336078485,255.82516312075958
98,2.496098848631831,1.650975276557332,1.8595371377127974,0.7902310369236409,36.108333333333334,42,3.0,5.0,5.0,10.0,0.0007403681557480467,4052.0381336078485,255.82516312075958
99,2.496098848631831,1.5827196433752626,1.9507304886281656,0.8669392443974996,33.9,42,3.0,5.0,5.0,10.0,0.0007403681557480467,4052.0381336078485,255.82516312075958
100,2.496098848631831,1.6366398934213635,1.777253210800315,0.7625636599374395,39.108333333333334,42,3.0,5.0,5.0,10.0,0.0007403681557480467,4052.0381336078485,255.82516312075958
101,2.496098848631831,1.6948698277127923,2.0197591594990634,0.7939068568024447,38.93333333333333,42,3.0,5.0,5.0,10.0,0.0007403681557480467,4052.0381336078485,255.82516312075958
102,2.4961761753314398,1.8074735391320198,2.1690647835435897,0.7626137463014303,40.983333333333334,44,3.0,5.0,5.0,10.0,0.000800127604698998,3749.4019483661955,281.6788540475036
103,2.4961761753314398,1.685429724345177,1.9796048542769487,0.8309919012261984,34.25833333333333,44,3.0,5.0,5.0,10.0,0.000800127604698998,3749.4019483661955,281.6788540475036
104,2.4961761753314398,1.5902163193810968,1.7956840614647698,0.8303588390511754,35.95,44,3.0,5.0,5.0,10.0,0.000800127604698998,3749.4019483661955,281.6788540475036
105,2.4961761753314398,1.5584591539700186,1.677986666853759,0.8271253130728227,31.9,44,3.0,5.0,5.0,10.0,0.000800127604698998,3749.4019483661955,281.6788540475036
